,words,tfidf,topic
0,way,0.06483327571430508,0
1,need,0.05737596575134324,0
2,mental,0.05482857461527324,0
3,self,0.04897126732936624,0
4,read,0.04792661526145628,0
5,anxiety,0.04701240443635349,0
6,health,0.04221216565470352,0
7,issue,0.04193178663385759,0
8,hard,0.040648555313908985,0
9,kind,0.03716019594994277,0
10,change,0.036651461647389416,0
11,struggle,0.035232287017117725,0
12,thank,0.03512628705502727,0
13,experience,0.034583031438008754,0
14,sure,0.032473841013778426,0
15,believe,0.03228024046191123,0
16,situation,0.030303882261744058,0
17,mean,0.02973418140938602,0
18,actually,0.02863331689188178,0
19,different,0.027998007672497157,0
20,therapist,0.027722931795251548,0
21,therapy,0.026824603451768427,0
22,learn,0.026135874188756732,0
23,medication,0.026067375813824203,0
24,etc,0.024787484053070668,0
25,depressed,0.024244608772452655,0
26,diagnose,0.024069129300515326,0
27,hear,0.023056119060792992,0
28,question,0.022952949469004624,0
29,doctor,0.022176198432541854,0
30,word,0.021611195808516264,0
31,advice,0.021561184641525146,0
32,continue,0.02134875945146086,0
33,sense,0.0205450143797599,0
34,suffer,0.020384900973062444,0
35,sort,0.020162369339013202,0
36,lack,0.019543728268456007,0
37,begin,0.018952061032431713,0
38,disorder,0.01885811517318375,0
39,share,0.018742436124185576,0
40,explain,0.01805214444179173,0
41,speak,0.018022959824357445,0
42,difficult,0.017836679219849976,0
43,better,0.017779554936203753,0
44,psychiatrist,0.017551148813036172,0
45,fear,0.01749108725373245,0
46,short,0.017157085137302127,0
47,consider,0.0167326261463266,0
48,low,0.01652815873269457,0
49,control,0.016011689618626836,0
50,brain,0.01585135096899273,0
51,suicidal,0.015790880330240866,0
52,result,0.015724282168851775,0
53,deep,0.015494404150725822,0
54,sound,0.01543594832664538,0
55,form,0.015405135423068405,0
56,appreciate,0.015067171188118315,0
57,despite,0.014882745916882932,0
58,severe,0.014350302058982403,0
59,possible,0.013960359970592402,0
0,come,0.07151636483442081,1
1,find,0.07005643353668906,1
2,love,0.06723118088057461,1
3,relationship,0.06651781334236934,1
4,lot,0.06335814062874778,1
5,person,0.06321412396635473,1
6,long,0.054855017241895954,1
7,look,0.05476812156483446,1
8,point,0.04712283154149799,1
9,ask,0.04649417667709027,1
10,problem,0.046147548276881334,1
11,girl,0.045650441300189956,1
12,lose,0.043152920417467766,1
13,let,0.04228447385405584,1
14,little,0.04192324692885882,1
15,post,0.04143749810865363,1
16,break,0.04137085650281422,1
17,meet,0.040799960363110385,1
18,reason,0.03915340749425672,1
19,ago,0.038651845231209736,1
20,maybe,0.03735657397623504,1
21,understand,0.03730595605580517,1
22,sorry,0.03569834734833213,1
23,close,0.03466971278419009,1
24,later,0.034086755068188104,1
25,guy,0.033990628656023675,1
26,date,0.03274902529123754,1
27,grow,0.032125224980668304,1
28,past,0.031799879034240475,1
29,wrong,0.03169128240159755,1
30,write,0.03133113429449999,1
31,bit,0.031113247317766653,1
32,great,0.029762554696021095,1
33,pretty,0.028912296775340015,1
34,story,0.027772034549473714,1
35,guess,0.026345769265275622,1
36,stuff,0.025928007070243394,1
37,fact,0.025621547971698144,1
38,idea,0.02349122944215892,1
39,completely,0.022646879244991393,1
40,decide,0.02248550413124149,1
41,recently,0.022209481542557082,1
42,far,0.02219426183631248,1
43,couple,0.020849040729012388,1
44,group,0.020788451823186487,1
45,realize,0.020428185897064157,1
46,nice,0.02007659900697994,1
47,fight,0.01999562078057297,1
48,eventually,0.019826908701294037,1
49,girlfriend,0.019473628461710853,1
50,trust,0.019078962845951005,1
51,miss,0.01883346955053172,1
52,hang,0.01880162179244572,1
53,fun,0.01834537815136404,1
54,ex,0.01759985079989616,1
55,single,0.01741433656427035,1
56,conversation,0.017369984879886582,1
57,accept,0.01673958964121258,1
58,blame,0.016338158443468618,1
59,woman,0.016180986542576364,1
0,job,0.09500897100533001,2
1,live,0.06922030316955069,2
2,family,0.06877379837160924,2
3,home,0.06844446324467413,2
4,parent,0.06190942296448501,2
5,old,0.059470801887736346,2
6,leave,0.0576217186346939,2
7,month,0.054693973796647644,2
8,mom,0.05115771336927338,2
9,money,0.05003728732179073,2
10,pay,0.049173373980393606,2
11,house,0.04897414957486551,2
12,dad,0.047969640084948195,2
13,mother,0.04134043797753991,2
14,father,0.037823461594029134,2
15,kid,0.036478707933139926,2
16,place,0.0360512326528519,2
17,able,0.030841404276911673,2
18,turn,0.029626266049188745,2
19,brother,0.028731582722667074,2
20,car,0.028723582647863923,2
21,sister,0.0284969069710389,2
22,age,0.026422237443023463,2
23,child,0.026050151117770825,2
24,young,0.02557236109525887,2
25,plan,0.025233670005649644,2
26,support,0.023083537132443845,2
27,finally,0.021908554469839966,2
28,country,0.021747168605989183,2
29,buy,0.021484534672956416,2
30,state,0.02074636013667337,2
31,pass,0.02069423206120345,2
32,rent,0.020666980699295755,2
33,afford,0.019787747504053373,2
34,bill,0.018290883934136755,2
35,city,0.017404934752873115,2
36,childhood,0.016786351098409497,2
37,visit,0.016488226604134,2
38,apartment,0.016312653526765402,2
39,entire,0.016229871735092948,2
40,abuse,0.016140082652128056,2
41,19,0.01582423527121851,2
42,abusive,0.015503046766291691,2
43,soon,0.015457144578240654,2
44,quit,0.015063686249510875,2
45,save,0.014972975199432309,2
46,current,0.014640977163238476,2
47,hospital,0.014081783781069846,2
48,attempt,0.01398310714109374,2
49,forward,0.013688364560549835,2
50,virus,0.013209265818720463,2
51,18,0.012997829581895782,2
52,raise,0.012981426032354195,2
53,town,0.012780895940552236,2
54,son,0.012767894854540182,2
55,afraid,0.012581939235157517,2
56,debt,0.012322905839366856,2
57,kick,0.012217461429991838,2
58,divorce,0.012084617930506797,2
59,marry,0.0120689434661053,2
0,school,0.10776056897200637,3
1,college,0.061148622051245285,3
2,high,0.06089663116876909,3
3,class,0.058714380798512655,3
4,grade,0.04520028547043201,3
5,new,0.035227377134313814,3
6,study,0.03429615705338149,3
7,student,0.03259361649194044,3
8,graduate,0.031669920684967684,3
9,social,0.030767937338444653,3
10,drop,0.02794996837416969,3
11,university,0.026663382575936426,3
12,online,0.026479002452822625,3
13,fail,0.02642356478874373,3
14,semester,0.02485687763632254,3
15,stress,0.024408517229825368,3
16,finish,0.024121269489551355,3
17,future,0.022319160364618448,3
18,teacher,0.022127800600553003,3
19,degree,0.021537676950831777,3
20,course,0.019800156468065332,3
21,20,0.01784760589561132,3
22,basically,0.017528474970919094,3
23,career,0.01697091195294047,3
24,mention,0.016953247928088656,3
25,summer,0.016727150629741883,3
26,test,0.016469796593520877,3
27,barely,0.016192478356630218,3
28,waste,0.01564512078130947,3
29,apply,0.015543254743635803,3
30,failure,0.014938866298394747,3
31,middle,0.014934800264955436,3
32,literally,0.01484869824354501,3
33,skill,0.014782053118249835,3
34,focus,0.01461541538955592,3
35,major,0.014509644799972339,3
36,smart,0.014462356723214635,3
37,suppose,0.014079581011263718,3
38,level,0.013034999772217759,3
39,math,0.012753166942979538,3
40,follow,0.012382290296631333,3
41,develop,0.012379833188945628,3
42,especially,0.012315020422853843,3
43,senior,0.012262512993318986,3
44,lead,0.012076578073560882,3
45,complete,0.011919301778329642,3
46,opportunity,0.011655224587826874,3
47,multiple,0.011655135807327603,3
48,exam,0.011561263758249537,3
49,field,0.011218818416415982,3
50,program,0.01110869746042893,3
51,absolutely,0.011022564452048423,3
52,order,0.011022366600751834,3
53,lazy,0.010836139774970275,3
54,education,0.010637652735964944,3
55,teach,0.010597813556540445,3
56,computer,0.010218776068388028,3
57,avoid,0.00963588395219908,3
58,uni,0.009548255184978796,3
59,attend,0.009537593204943384,3
0,week,0.04941403200630662,4
1,sleep,0.04847072193234403,4
2,bed,0.04670545534306689,4
3,hour,0.04638727054019878,4
4,play,0.04140313332525862,4
5,eat,0.04094995963689044,4
6,night,0.04060459598526778,4
7,room,0.04000382926253866,4
8,sit,0.03769017658562815,4
9,spend,0.03665250518758437,4
10,watch,0.03624110819764233,4
11,walk,0.035563025038424484,4
12,game,0.03504222389032399,4
13,wake,0.03346124112272961,4
14,fall,0.03267497800001709,4
15,stay,0.030849698112312664,4
16,face,0.02658848361668389,4
17,big,0.026555047547195367,4
18,video,0.025372088749729262,4
19,food,0.024942702549996806,4
20,morning,0.024345982968983836,4
21,drive,0.02317614957877739,4
22,weight,0.02222132452084846,4
23,phone,0.02185552622746313,4
24,enjoy,0.02175460773353743,4
25,hand,0.02131976285320573,4
26,half,0.020925287516038584,4
27,small,0.0208466324716033,4
28,hit,0.020804766604786303,4
29,eye,0.020099019489977565,4
30,outside,0.01944699831617613,4
31,run,0.019332704623074414,4
32,minute,0.01918010108904988,4
33,early,0.01874958826074607,4
34,lie,0.018502988046906862,4
35,10,0.017478541591721002,4
36,clean,0.017477251169106017,4
37,late,0.017410888154700762,4
38,force,0.01708606496503059,4
39,drink,0.01679724461625925,4
40,second,0.016796193990917026,4
41,stand,0.01651699612930536,4
42,shower,0.015767702673075517,4
43,door,0.015746448007958592,4
44,lay,0.015744901636766156,4
45,today,0.015581023474743603,4
46,wait,0.015014443646663015,4
47,throw,0.014872609798100537,4
48,tear,0.014751237110714103,4
49,motivation,0.014668232349900055,4
50,pick,0.014475919582697219,4
51,smoke,0.014408698895097832,4
52,music,0.014381089994029648,4
53,water,0.012908852086765192,4
54,light,0.012830110498970702,4
55,30,0.012801078744161238,4
56,usually,0.012637392401133677,4
57,step,0.012439290367221722,4
58,fast,0.012411437964810678,4
59,wear,0.012410122044019313,4
0,care,0.059648429190548524,5
1,end,0.05655325818075535,5
2,away,0.05063936317927581,5
3,happy,0.046657756669074124,5
4,use,0.046391228290857456,5
5,anymore,0.04456972668987913,5
6,shit,0.04264769240363381,5
7,feeling,0.042293990399205256,5
8,die,0.04217092336507111,5
9,happen,0.04044888824441217,5
10,stop,0.04001252496605079,5
11,right,0.03937012711245369,5
12,cry,0.038730705063790755,5
13,mind,0.03850119092116952,5
14,hate,0.0379232778848162,5
15,world,0.03743270539653967,5
16,pain,0.037413484339806485,5
17,head,0.0363433932098228,5
18,thought,0.033818414016002274,5
19,fuck,0.031019386517337818,5
20,probably,0.02939257381619492,5
21,hope,0.02932513701080885,5
22,bring,0.029267174468757994,5
23,hurt,0.028947415269652468,5
24,wish,0.02714614929042841,5
25,remember,0.026841882422062643,5
26,fucking,0.026760677468809276,5
27,matter,0.02562544045073181,5
28,real,0.025416487475978574,5
29,moment,0.023873676844616273,5
30,emotion,0.02335967606570692,5
31,cause,0.02328499080578705,5
32,kill,0.02314457721356272,5
33,constantly,0.022570299278401536,5
34,stupid,0.022192586321767595,5
35,inside,0.022009743356652827,5
36,heart,0.021995768202687237,5
37,hold,0.021912637949971527,5
38,suicide,0.02166449784296345,5
39,act,0.021298179845358586,5
40,sad,0.021174087358953122,5
41,man,0.020329158510480987,5
42,honestly,0.020157916131910477,5
43,death,0.01982887461698035,5
44,body,0.018991476184455413,5
45,truly,0.018968604180710637,5
46,laugh,0.01888639980024123,5
47,hell,0.018829419574989913,5
48,deserve,0.018654510799754175,5
49,normal,0.01821583737490867,5
50,true,0.018204604003548838,5
51,happiness,0.018084834539649246,5
52,bear,0.01797661999917462,5
53,dream,0.017938664857160915,5
54,fine,0.017718267988226993,5
55,push,0.01763509135517052,5
56,deal,0.017037966803685464,5
57,human,0.016218905754662904,5
58,type,0.016142051273575635,5
59,hide,0.01609264850125611,5
